Strata	Text Count	Word Count
ai	3000	2272191
human	1000	2388645

gemini	1000	423981
gpt	1000	1408734
grok	1000	439476
human	1000	2388645

# Source/Model breakdown
ai/gemini	1000	423981
ai/gpt	1000	1408734
ai/grok	1000	439476
human/human	1000	2388645

00	36	40374
01	40	48327
02	40	53085
03	40	54063
04	40	56397
05	40	49836
06	40	41514
07	40	41724
08	40	52455
09	40	43440
10	44	52077
11	40	48276
12	40	52134
13	40	51144
14	40	45870
15	40	51546
16	40	59331
17	40	38370
18	40	68400
19	40	52488
20	40	46131
21	40	58998
22	40	58611
23	40	53850
24	40	56901
25	40	51873
26	40	49209
27	40	60036
28	40	45738
29	40	51756
30	40	51288
31	40	46551
32	40	48909
33	40	38232
34	40	42840
35	40	42114
36	40	44367
37	40	46464
38	40	51075
39	40	43866
40	40	44037
41	40	54387
42	40	43968
43	40	47196
44	40	55230
45	40	53256
46	40	50193
47	40	51108
48	40	54069
49	40	45588
50	40	48891
51	40	39945
52	40	42225
53	40	45210
54	40	40443
55	40	48549
56	40	37269
57	40	54969
58	40	46749
59	40	32073
60	40	51063
61	40	39372
62	40	44913
63	40	46794
64	40	48228
65	40	47121
66	40	38643
67	40	43683
68	40	47019
69	40	47571
70	40	46701
71	40	36990
72	40	46581
73	40	44517
74	40	52386
75	40	38046
76	40	44781
77	40	38814
78	40	41925
79	40	49281
80	40	40233
81	40	37602
82	40	41118
83	40	44076
84	40	46512
85	40	38355
86	40	40008
87	40	40341
88	40	40932
89	40	39405
90	40	35496
91	40	44697
92	40	40251
93	40	41874
94	40	34872
95	40	47898
96	40	35106
97	40	42576
98	40	40848
99	40	69192

overall	4000	4660836
